indice,registro_uso,registro_uso_usuario,codigo,nome,observa
1191,N,NULL,4-1191,AMPRI,NULL
1193,N,NULL,6-1193,SOLOPES,NULL
1194,N,NULL,4-1194,TENACITY,NULL
1195,N,NULL,4-1195,BLACK,NULL
1196,N,NULL,6-1196,DLZ,NULL
1197,N,NULL,6-1197,VOBER,NULL
1198,N,NULL,4-1198,POWER STOP,NULL
1200,N,NULL,4-1200,AUTOMORTEX,NULL
1201,N,NULL,4-1201,WILLTEC,NULL
1203,N,NULL,4-1203,4X4,NULL
1204,N,NULL,4-1204,ORIGINAL GM,NULL
1206,N,NULL,6-1206,CITROEN,NULL
1207,N,NULL,6-1207,VOX,NULL
1208,N,NULL,4-1208,PATRAL,NULL
1209,N,NULL,4-1209,4X4,NULL
1210,N,NULL,4-1210,NPM,NULL
1211,N,NULL,4-1211,NITRON,NULL
1212,N,NULL,4-1212,AMORTEC,NULL
1213,N,NULL,6-1213,VALEO,NULL
1214,N,NULL,6-1214,ORBI,NULL
1215,N,NULL,6-1215,SCHUCK,NULL
1216,N,NULL,4-1216,BARRELA,NULL
1218,N,NULL,4-1218,METAL SYSTE,NULL
1219,N,NULL,4-1219,ORIGINAL VW,NULL
1220,N,NULL,6-1220,GREHDER,NULL
1221,N,NULL,6-1221,FREUDENBERG-NOK,NULL
1222,N,NULL,4-1222,SK,NULL
1223,N,NULL,6-1223,DE-SIL,NULL
1224,N,NULL,6-1224,BIP,NULL
1225,N,NULL,6-1225,WORX,NULL
1226,N,NULL,4-1226,HANKOOK,NULL
1227,N,NULL,4-1227,BSBROL,NULL
1230,N,NULL,4-1230,3RHO,NULL
1231,N,NULL,6-1231,RANALLE,NULL
1232,N,NULL,6-1232,DANA,NULL
1233,N,NULL,4-1233,TUTELA,NULL
1234,N,NULL,4-1234,APLUS,NULL
1235,N,NULL,4-1235,RECRIM,NULL
1236,N,NULL,4-1236,DLZ-IMPORTADO,NULL
1237,N,NULL,4-1237,EFRAR,NULL
1238,N,NULL,4-1238,DINPA,NULL
1239,N,NULL,6-1239,RPD,NULL
1240,N,NULL,6-1240,MBJ,NULL
1241,N,NULL,6-1241,ICELCAR,NULL
1242,N,NULL,4-1242,ECOPADS,NULL
1243,N,NULL,4-1243,ZETEC,NULL
1244,N,NULL,6-1244,MICPARTS,NULL
1245,N,NULL,4-1245,IGAECO,NULL
1247,N,NULL,6-1247,SAIBEM,NULL
1248,N,NULL,6-1248,JINYU,NULL
1249,N,NULL,4-1249,RUBER,NULL
1250,N,NULL,4-1250,COMBATE,NULL
1251,N,NULL,4-1251,ACDELCO,NULL
1252,N,NULL,4-1252,FILTRAN,NULL
1253,N,NULL,4-1253,FRANK,NULL
1254,N,NULL,4-1254,AERO FLAT,NULL
1256,N,NULL,6-1256,TAS,NULL
1257,N,NULL,4-1257,RANALLE,NULL
1258,N,NULL,6-1258,MICRONAIR,NULL
1259,N,NULL,6-1259,PARAFLU,NULL
1260,N,NULL,4-1260,ELI,NULL
1261,N,NULL,4-1261,3R,NULL
1262,N,NULL,6-1262,CAV,NULL
1264,N,NULL,4-1264,SCHADEK (ORIGINAL),NULL
1266,N,NULL,6-1266,BELAIR,NULL
1267,N,NULL,6-1267,ASH,NULL
1268,N,NULL,4-1268,ORIGINAL RENAULT,NULL
1269,N,NULL,6-1269,DSC AUTO PECAS,NULL
1270,N,NULL,4-1270,MICRO,NULL
1271,N,NULL,6-1271,SYNTIUM,NULL
1272,N,NULL,4-1272,TAKAL,NULL
1273,N,NULL,4-1273,MOBIL,NULL
1274,N,NULL,4-1274,TECNO PARTS,NULL
1275,N,NULL,4-1275,4X4,NULL
1276,N,NULL,4-1276,ORIGINAL CITROEN,NULL
1277,N,NULL,4-1277,ORIGINAL HYNDAI,NULL
1278,N,NULL,6-1278,TRALI,NULL
1279,N,NULL,4-1279,PETRONAS,NULL
1281,N,NULL,4-1281,HONDA,NULL
1282,N,NULL,4-1282,BRASME,NULL
1283,N,NULL,4-1283,CORTECO,NULL
1284,N,NULL,4-1284,DURALIGHT,NULL
1285,N,NULL,4-1285,JTEKT,NULL
1286,N,NULL,4-1286,RIO,NULL
1287,N,NULL,4-1287,BBB,NULL
1288,N,NULL,4-1288,ELR,NULL
1289,N,NULL,4-1289,EATON,NULL
1290,N,NULL,6-1290,KS,NULL
1291,N,NULL,6-1291,SPAAL,NULL
1292,N,NULL,4-1292,NEVESCAR,NULL
1294,N,NULL,4-1294,SCHADER,NULL
1295,N,NULL,4-1295,ELRING,NULL
1297,N,NULL,6-1297,LOCTITE,NULL
1298,N,NULL,6-1298,MARBO COMERCIAL,NULL
1299,N,NULL,4-1299,SBAL,NULL
1300,N,NULL,4-1300,ISAPA,NULL
1303,N,NULL,6-1303,BRIDGESTONE,NULL
1304,N,NULL,6-1304,SUSPEX,NULL
1305,N,NULL,6-1305,POLYMAX,NULL
1306,N,NULL,4-1306,TIMKEN,NULL
1307,N,NULL,4-1307,DBH,NULL
1308,N,NULL,4-1308,RUBBER,NULL
1309,N,NULL,6-1309,LUK,NULL
1310,N,NULL,4-1310,DPA,NULL
1311,N,NULL,4-1311,BRAZIMETAL,NULL
1312,N,NULL,4-1312,COMPASAL,NULL
1313,N,NULL,4-1313,AUTOPARTS,NULL
1314,N,NULL,6-1314,TIGER,NULL
1315,N,NULL,4-1315,INDISA,NULL
1316,N,NULL,4-1316,KOM,NULL
1319,N,NULL,6-1319,FILTROS BRASIL,NULL
1320,N,NULL,4-1320,EAGLEYE,NULL
1321,N,NULL,4-1321,MUNDIAL PRIME,NULL
1322,N,NULL,4-1322,LANVIGATOR,NULL
1324,N,NULL,4-1324,LANDSAIL,NULL
1325,N,NULL,4-1325,DS,NULL
1326,N,NULL,4-1326,MENIL,NULL
1327,N,NULL,4-1327,MALHE,NULL
1328,N,NULL,6-1328,MILITEC,NULL
1329,N,NULL,6-1329,SYNTEX,NULL
1330,N,NULL,6-1330,MOBILLE,NULL
1331,N,NULL,4-1331,GE,NULL
1332,N,NULL,4-1332,PREMIUM,NULL
1333,N,NULL,4-1333,BILSTEIN,NULL
1334,N,NULL,4-1334,RADNAQ,NULL
1345,N,NULL,6-1345,IGASA,NULL
1346,N,NULL,6-1346,MOTORCRAFT,NULL
1347,N,NULL,4-1347,RIOSULENSE,NULL
1348,N,NULL,4-1348,MARFLEX,NULL
1349,N,NULL,6-1349,ULYBREA,NULL
1350,N,NULL,4-1350,NOTUS,NULL
1351,N,NULL,4-1351,BRASNI,NULL
1352,N,NULL,4-1352,DNK,NULL
1356,N,NULL,6-1356,PANSTAV,NULL
1357,N,NULL,6-1357,GRID CALOTAS,NULL
1359,N,NULL,6-1359,IGE,NULL
1367,N,NULL,4-1367,ELITE,NULL
1371,N,NULL,4-1371,JAHU ORIGINAL,NULL
1372,N,NULL,4-1372,JEEP ORIGINAL,NULL
1374,N,NULL,6-1374,MOPAR,NULL
1375,N,NULL,6-1375,MOPPAR ORIGINAL FIAT,NULL
1376,N,NULL,4-1376,INCOL,NULL
1378,N,NULL,6-1378,IGUACU,NULL
1382,N,NULL,4-1382,RAID,NULL
1385,N,NULL,6-1385,JUNTAS SANTA CRUZ,NULL
1387,N,NULL,6-1387,INDEBRAS,NULL
1388,N,NULL,6-1388,DUGUI,NULL
1389,N,NULL,6-1389,DMX BRASIL,NULL
1391,N,NULL,6-1391,CABOVEL,NULL
1392,N,NULL,4-1392,HI TEC,NULL
1393,N,NULL,4-1393,ENERGY,NULL
1394,N,NULL,6-1394,SELENIA 5W30,NULL
1395,N,NULL,6-1395,DE-SIL,NULL
1396,N,NULL,4-1396,NACIONAL,NULL
1399,N,NULL,6-1399,KTB,NULL
1400,N,NULL,4-1400,TECH ONE,NULL
1411,N,NULL,4-1411,IGE ESCAPAMENTOS,NULL
1421,N,NULL,6-1421,GAUSS,NULL
1422,N,NULL,6-1422,RAINHA DA SETAS,NULL
1423,N,NULL,4-1423,DUREX,NULL
1424,N,NULL,4-1424,CAR80,NULL
1425,N,NULL,6-1425,AVX,NULL
1426,N,NULL,4-1426,RFLEX,NULL
1427,N,NULL,4-1427,APLIC,NULL
1428,N,NULL,4-1428,CATERP,NULL
1432,N,NULL,4-1432,BATER LIFE IND,NULL
1438,N,NULL,6-1438,PHILIPS,NULL
1441,N,NULL,4-1441,MARVINI,NULL
1442,N,NULL,4-1442,MCH,NULL
1447,N,NULL,4-1447,ORIGINAL TOYOTA,NULL
1448,N,NULL,4-1448,TUVER,NULL
1450,N,NULL,4-1450,MICRONAIR,NULL
1451,N,NULL,4-1451,MAX CABOS,NULL
1455,N,NULL,6-1455,CGD,NULL
1456,N,NULL,4-1456,ONYX,NULL
1457,N,NULL,6-1457,NEWMAX,NULL
1458,N,NULL,6-1458,LUBRI MOTORS,NULL
1459,N,NULL,4-1459,PONSTAV,NULL
1460,N,NULL,4-1460,DRIFT,NULL
1461,N,NULL,4-1461,SUNFULL,NULL
1462,N,NULL,4-1462,THREE-A,NULL
1463,N,NULL,4-1463,DURALAST,NULL
1464,N,NULL,6-1464,AMORTEX,NULL
1466,N,NULL,4-1466,TRIUNFO,NULL
1467,N,NULL,4-1467,LEVORIN,NULL
1468,N,NULL,4-1468,MAXTREK,NULL
1469,N,NULL,4-1469,MAXTREK,NULL
1470,N,NULL,4-1470,IZAPA,NULL
1471,N,NULL,4-1471,MA2O,NULL
1473,N,NULL,4-1473,SKP,NULL
1474,N,NULL,4-1474,NOTUS,NULL
1475,N,NULL,4-1475,GET OIL,NULL
1476,N,NULL,4-1476,BARDAHL,NULL
1477,N,NULL,4-1477,KPA,NULL
1478,N,NULL,4-1478,3B,NULL
1479,N,NULL,4-1479,BORGWARNER,NULL
1481,N,NULL,4-1481,VALCLEI,NULL
1482,N,NULL,4-1482,AMPERA,NULL
1483,N,NULL,4-1483,INCOL LUB,NULL
1485,N,NULL,1485,DURABLE,NULL
1486,N,NULL,1486,THREE-A,NULL
1487,N,NULL,1487,POWER FLUSH 12,NULL
1488,N,NULL,1488,JUPITER,NULL
1489,N,NULL,1489,BROKIT S,NULL
1490,N,NULL,1490,ANEL,NULL
1491,N,NULL,1491,ROLT,NULL
1492,N,NULL,1492,ORIGINAL FORD,NULL
1494,N,NULL,1494,METAL BRASIL,NULL
1496,N,NULL,1496,GRENA,NULL
1497,N,NULL,1497,PG,NULL
1498,N,NULL,1498,MOBENSANI,NULL
1499,N,NULL,1499,RTA,NULL
1501,N,NULL,1501,ANELLI,NULL
1502,N,NULL,1502,TECPADS,NULL
1503,N,NULL,1503,SAMKIT,NULL
1504,N,NULL,1504,ORG,NULL
1505,N,NULL,1505,KITSBOR,NULL
1506,N,NULL,1506,MILTPARTS,NULL
1508,N,NULL,1508,VISA,NULL
1509,N,NULL,1509,OMEGA,NULL
1511,N,NULL,1511,RICAMBI ORIGINALI,NULL
1513,N,NULL,1513,HAVOLINE,NULL
1516,N,NULL,1516,RUVILLE,NULL
1517,N,NULL,1517,GENERAL,NULL
1518,N,NULL,1518,IRPEL,NULL
1519,N,NULL,1519,AUTOMOTIVA,NULL
1520,N,NULL,1520,SABRINI,NULL
1521,N,NULL,1521,PNEU IMPORTADO,NULL
1522,N,NULL,1522,NEWPARTS,NULL
1523,N,NULL,1523,KN,NULL
1524,N,NULL,1524,DSI,NULL
1525,N,NULL,1525,LUMIX,NULL
1527,N,NULL,1527,HELIAR,NULL
1528,N,NULL,1528,4 X 4,NULL
1529,N,NULL,1529,BOSH,NULL
1530,N,NULL,1530,OMNICRAFT,NULL
1531,N,NULL,1531,MERITOR,NULL
1532,N,NULL,1532,MOBI KITS,NULL
1533,N,NULL,1533,FAMA,NULL
1535,N,NULL,1535,SBT,NULL
1536,N,NULL,1536,MIBRA,NULL
1537,N,NULL,1537,3RHO,NULL
1538,N,NULL,1538,DENSO,NULL
1539,N,NULL,1539,MAK,NULL
1542,N,NULL,1542,VIKING,NULL
1543,N,NULL,1543,ROLES,NULL
1545,N,NULL,1545,LAMM,NULL
1546,N,NULL,1546,CASTROL,NULL
1547,N,NULL,1547,DLS,NULL
1548,N,NULL,1548,HALOGENA,NULL
1549,N,NULL,1549,TEXACO,NULL
1550,N,NULL,1550,PETROL,NULL
1551,N,NULL,1551,CRALL,NULL
1552,N,NULL,1552,ZEN,NULL
1553,N,NULL,1553,PIONEIRO,NULL
1554,N,NULL,1554,PREMIER,NULL
1555,N,NULL,1555,BASFORD,NULL
1556,N,NULL,1556,HELICORDIAL,NULL
