id;registro_uso;registro_uso_usuario;codigo;nome;editar;grupo_codigo;grupo_nome;tempo_minimo;tempo_maximo;comissao_geral;comissao_tempo_abaixo;comissao_tempo_padrao;comissao_tempo_acima;valor_venda;observacoes;retorno_controle;vida_util_mes;vida_util_km;nfse_codigo;nfse_atividade;nfse_aliquota
40;N;NULL;abr/40;SEGURO DE PNEU ARO 14;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;30;;SIM;0;0;NULL;NULL;0
41;N;NULL;abr/41;SEGURO DE PNEU ARO 15;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;40;;SIM;0;0;NULL;NULL;0
42;N;NULL;abr/42;SEGURO DE PNEU ARO 16;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;70;;SIM;0;0;NULL;NULL;0
43;N;NULL;abr/43;S.SCANNER (NEW KAPTOR);NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;90;;SIM;0;0;NULL;NULL;0
44;N;NULL;abr/44;FREIO TRASEIRO-VANS/PICKS(RETIFICA TAMBOR+LONA);NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;320;;SIM;0;0;NULL;NULL;0
45;N;NULL;abr/45;SOLDA;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;20;;SIM;0;0;NULL;NULL;0
46;N;;abr/46;S.MAO OBRA(SUBSTITUICAO PECAS);NAO;04/jan;DIVERSOS;00:00:00;00:00:01;0;0;0;0;380;;SIM;0;0;NULL;NULL;0
47;N;NULL;abr/47;LIMPEZA/HIGIENIZACAO-AR;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;80;;SIM;0;0;NULL;NULL;0
48;N;NULL;abr/48;RODIZIO PNEUS CARRO PASSEIO;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;10;;SIM;180;5000;NULL;NULL;0
49;N;NULL;abr/49;TIRAR E DESMONTAR EIXO  HOMOC.COMPLETO;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;20;;SIM;0;0;NULL;NULL;0
50;N;NULL;abr/50;SEGURO DE PNEU AR0 15/16/17 (PICKS/VANS);NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;110;;SIM;0;0;NULL;NULL;0
52;N;NULL;abr/52;CONVERGENCIA TRAS L.D;NAO;04/set;RAMPA TRASEI;00:00:00;00:00:00;0;0;0;0;150;;SIM;0;0;NULL;NULL;0
53;N;;abr/53;CONVERGENCIA TRAS L.E;NAO;04/set;RAMPA TRASEI;00:00:00;00:00:00;0;0;0;0;150;;SIM;0;0;NULL;NULL;0
55;N;;abr/55;S.SUSPENSAO DIANT KOMBI CLIPPER(ROLETADA;NAO;04/jan;DIVERSOS;00:00:00;00:00:02;0;0;0;0;1400;;SIM;0;0;NULL;NULL;0
56;N;NULL;abr/56;S.SUSPENSAO DIANT KOMBI CARAT(ROLETADA);NAO;04/jan;DIVERSOS;00:00:00;00:00:03;0;0;0;0;1550;;SIM;0;0;NULL;NULL;0
72;N;NULL;abr/72;MONTAGEM-PNEU ARO 17/18;NAO;04/ago;MONTAGEM;00:00:00;00:00:00;0;0;0;0;15;;SIM;0;0;NULL;NULL;0
59;N;NULL;abr/59;LIMPEZA/BICO 8/16V(TIRANDO COLETOR);NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;120;;SIM;0;0;NULL;NULL;0
60;N;;abr/60;RETIFICA DISCO(PAR);NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;70;;SIM;0;0;NULL;NULL;0
